movieId,title,genres,year,title_clean,tag,year_str,related
42,Dead Presidents (1995),Action|Crime|Drama,1995.0,dead presidents,,1995.0,action crime drama dead presidents
43,Restoration (1995),Drama,1995.0,restoration,England,1995.0,drama restoration england
44,Mortal Kombat (1995),Action|Adventure|Fantasy,1995.0,mortal kombat,,1995.0,action adventure fantasy mortal kombat
45,To Die For (1995),Comedy|Drama|Thriller,1995.0,to die for,Journalism,1995.0,comedy drama thriller to die for journalism
46,How to Make an American Quilt (1995),Drama|Romance,1995.0,how to make an american quilt,wedding,1995.0,drama romance how to make an american quilt wedding
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,1995.0,seven (a.k.a. se7en),mystery twist ending serial killer,1995.0,mystery thriller seven aka seen mystery twist ending serial killer
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,1995.0,pocahontas,,1995.0,animation children drama musical romance pocahontas
49,When Night Is Falling (1995),Drama|Romance,1995.0,when night is falling,,1995.0,drama romance when night is falling
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,1995.0,"usual suspects, the",mindfuck suspense thriller tricky twist ending heist,1995.0,crime mystery thriller usual suspects the mindfuck suspense thriller tricky twist ending heist
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,1995.0,mighty aphrodite,adoption prostitution,1995.0,comedy drama romance mighty aphrodite adoption prostitution
53,Lamerica (1994),Adventure|Drama,1994.0,lamerica,,1994.0,adventure drama lamerica
54,"Big Green, The (1995)",Children|Comedy,1995.0,"big green, the",,1995.0,children comedy big green the
55,Georgia (1995),Drama,1995.0,georgia,,1995.0,drama georgia
57,Home for the Holidays (1995),Drama,1995.0,home for the holidays,,1995.0,drama home for the holidays
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,1994.0,"postman, the (postino, il)",writing,1994.0,comedy drama romance postman the postino il writing
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,1995.0,"indian in the cupboard, the",,1995.0,adventure children fantasy indian in the cupboard the
61,Eye for an Eye (1996),Drama|Thriller,1996.0,eye for an eye,,1996.0,drama thriller eye for an eye
62,Mr. Holland's Opus (1995),Drama,1995.0,mr. holland's opus,music,1995.0,drama mr hollands opus music
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,1996.0,don't be a menace to south central while drinking your juice in the hood,,1996.0,comedy crime dont be a menace to south central while drinking your juice in the hood
64,Two if by Sea (1996),Comedy|Romance,1996.0,two if by sea,,1996.0,comedy romance two if by sea
65,Bio-Dome (1996),Comedy,1996.0,bio-dome,,1996.0,comedy biodome
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,1996.0,lawnmower man 2: beyond cyberspace,,1996.0,action scifi thriller lawnmower man  beyond cyberspace
68,French Twist (Gazon maudit) (1995),Comedy|Romance,1995.0,french twist (gazon maudit),,1995.0,comedy romance french twist gazon maudit
69,Friday (1995),Comedy,1995.0,friday,,1995.0,comedy friday
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,1996.0,from dusk till dawn,,1996.0,action comedy horror thriller from dusk till dawn
71,Fair Game (1995),Action,1995.0,fair game,,1995.0,action fair game
72,Kicking and Screaming (1995),Comedy|Drama,1995.0,kicking and screaming,,1995.0,comedy drama kicking and screaming
73,"Misérables, Les (1995)",Drama|War,1995.0,"misérables, les",,1995.0,drama war misrables les
74,Bed of Roses (1996),Drama|Romance,1996.0,bed of roses,,1996.0,drama romance bed of roses
75,Big Bully (1996),Comedy|Drama,1996.0,big bully,,1996.0,comedy drama big bully
76,Screamers (1995),Action|Sci-Fi|Thriller,1995.0,screamers,,1995.0,action scifi thriller screamers
77,Nico Icon (1995),Documentary,1995.0,nico icon,,1995.0,documentary nico icon
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,1995.0,"crossing guard, the",,1995.0,action crime drama thriller crossing guard the
79,"Juror, The (1996)",Drama|Thriller,1996.0,"juror, the",,1996.0,drama thriller juror the
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,1995.0,"white balloon, the (badkonake sefid)",,1995.0,children drama white balloon the badkonake sefid
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,1995.0,things to do in denver when you're dead,,1995.0,crime drama romance things to do in denver when youre dead
82,Antonia's Line (Antonia) (1995),Comedy|Drama,1995.0,antonia's line (antonia),,1995.0,comedy drama antonias line antonia
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,1995.0,once upon a time... when we were colored,,1995.0,drama romance once upon a time when we were colored
85,Angels and Insects (1995),Drama|Romance,1995.0,angels and insects,,1995.0,drama romance angels and insects
86,White Squall (1996),Action|Adventure|Drama,1996.0,white squall,,1996.0,action adventure drama white squall
87,Dunston Checks In (1996),Children|Comedy,1996.0,dunston checks in,,1996.0,children comedy dunston checks in
88,Black Sheep (1996),Comedy,1996.0,black sheep,,1996.0,comedy black sheep
89,Nick of Time (1995),Action|Thriller,1995.0,nick of time,,1995.0,action thriller nick of time
92,Mary Reilly (1996),Drama|Horror|Thriller,1996.0,mary reilly,Jekyll and Hyde,1996.0,drama horror thriller mary reilly jekyll and hyde
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,1995.0,vampire in brooklyn,,1995.0,comedy horror romance vampire in brooklyn
94,Beautiful Girls (1996),Comedy|Drama|Romance,1996.0,beautiful girls,,1996.0,comedy drama romance beautiful girls
95,Broken Arrow (1996),Action|Adventure|Thriller,1996.0,broken arrow,,1996.0,action adventure thriller broken arrow
96,In the Bleak Midwinter (1995),Comedy|Drama,1995.0,in the bleak midwinter,theater,1995.0,comedy drama in the bleak midwinter theater
97,"Hate (Haine, La) (1995)",Crime|Drama,1995.0,"hate (haine, la)",,1995.0,crime drama hate haine la
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,1995.0,heidi fleiss: hollywood madam,,1995.0,documentary heidi fleiss hollywood madam
100,City Hall (1996),Drama|Thriller,1996.0,city hall,,1996.0,drama thriller city hall
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,1996.0,bottle rocket,crime off-beat comedy quirky,1996.0,adventure comedy crime romance bottle rocket crime offbeat comedy quirky
102,Mr. Wrong (1996),Comedy,1996.0,mr. wrong,,1996.0,comedy mr wrong
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,1996.0,unforgettable,,1996.0,mystery scifi thriller unforgettable
104,Happy Gilmore (1996),Comedy,1996.0,happy gilmore,test tag golf Adam Sandler,1996.0,comedy happy gilmore test tag golf adam sandler
105,"Bridges of Madison County, The (1995)",Drama|Romance,1995.0,"bridges of madison county, the",,1995.0,drama romance bridges of madison county the
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,1994.0,nobody loves me (keiner liebt mich),,1994.0,comedy drama nobody loves me keiner liebt mich
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,1996.0,muppet treasure island,muppets,1996.0,adventure children comedy musical muppet treasure island muppets
108,Catwalk (1996),Documentary,1996.0,catwalk,,1996.0,documentary catwalk
110,Braveheart (1995),Action|Drama|War,1995.0,braveheart,beautiful scenery epic historical inspirational Medieval mel gibson Oscar (Best Cinematography) revenge sword fight Scotland,1995.0,action drama war braveheart beautiful scenery epic historical inspirational medieval mel gibson oscar best cinematography revenge sword fight scotland
111,Taxi Driver (1976),Crime|Drama|Thriller,1976.0,taxi driver,assassination,1976.0,crime drama thriller taxi driver assassination
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,1995.0,rumble in the bronx (hont faan kui),,1995.0,action adventure comedy crime rumble in the bronx hont faan kui
113,Before and After (1996),Drama|Mystery,1996.0,before and after,,1996.0,drama mystery before and after
116,Anne Frank Remembered (1995),Documentary,1995.0,anne frank remembered,Holocaust,1995.0,documentary anne frank remembered holocaust
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,1995.0,"young poisoner's handbook, the",,1995.0,crime drama young poisoners handbook the
118,If Lucy Fell (1996),Comedy|Romance,1996.0,if lucy fell,,1996.0,comedy romance if lucy fell
119,"Steal Big, Steal Little (1995)",Comedy,1995.0,"steal big, steal little",,1995.0,comedy steal big steal little
121,"Boys of St. Vincent, The (1992)",Drama,1992.0,"boys of st. vincent, the",,1992.0,drama boys of st vincent the
122,Boomerang (1992),Comedy|Romance,1992.0,boomerang,dating,1992.0,comedy romance boomerang dating
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,1994.0,chungking express (chung hing sam lam),,1994.0,drama mystery romance chungking express chung hing sam lam
125,Flirting With Disaster (1996),Comedy,1996.0,flirting with disaster,,1996.0,comedy flirting with disaster
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,1994.0,"neverending story iii, the",,1994.0,adventure children fantasy neverending story iii the
128,Jupiter's Wife (1994),Documentary,1994.0,jupiter's wife,,1994.0,documentary jupiters wife
129,Pie in the Sky (1996),Comedy|Romance,1996.0,pie in the sky,,1996.0,comedy romance pie in the sky
132,Jade (1995),Thriller,1995.0,jade,,1995.0,thriller jade
135,Down Periscope (1996),Comedy,1996.0,down periscope,,1996.0,comedy down periscope
137,Man of the Year (1995),Documentary,1995.0,man of the year,,1995.0,documentary man of the year
140,Up Close and Personal (1996),Drama|Romance,1996.0,up close and personal,journalism,1996.0,drama romance up close and personal journalism
141,"Birdcage, The (1996)",Comedy,1996.0,"birdcage, the",,1996.0,comedy birdcage the
144,"Brothers McMullen, The (1995)",Comedy,1995.0,"brothers mcmullen, the",,1995.0,comedy brothers mcmullen the
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,1995.0,bad boys,,1995.0,action comedy crime drama thriller bad boys
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,1995.0,"amazing panda adventure, the",,1995.0,adventure children amazing panda adventure the
147,"Basketball Diaries, The (1995)",Drama,1995.0,"basketball diaries, the",addiction heroin Leonardo DiCaprio Mark Wahlberg,1995.0,drama basketball diaries the addiction heroin leonardo dicaprio mark wahlberg
148,"Awfully Big Adventure, An (1995)",Drama,1995.0,"awfully big adventure, an",,1995.0,drama awfully big adventure an
149,Amateur (1994),Crime|Drama|Thriller,1994.0,amateur,,1994.0,crime drama thriller amateur
150,Apollo 13 (1995),Adventure|Drama|IMAX,1995.0,apollo 13,moon NASA space,1995.0,adventure drama imax apollo  moon nasa space
151,Rob Roy (1995),Action|Drama|Romance|War,1995.0,rob roy,,1995.0,action drama romance war rob roy
152,"Addiction, The (1995)",Drama|Horror,1995.0,"addiction, the",,1995.0,drama horror addiction the
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,1995.0,batman forever,superhero superhero,1995.0,action adventure comedy crime batman forever superhero superhero
154,Beauty of the Day (Belle de jour) (1967),Drama,1967.0,beauty of the day (belle de jour),,1967.0,drama beauty of the day belle de jour
155,Beyond Rangoon (1995),Adventure|Drama|War,1995.0,beyond rangoon,,1995.0,adventure drama war beyond rangoon
156,Blue in the Face (1995),Comedy|Drama,1995.0,blue in the face,,1995.0,comedy drama blue in the face
157,Canadian Bacon (1995),Comedy|War,1995.0,canadian bacon,,1995.0,comedy war canadian bacon
158,Casper (1995),Adventure|Children,1995.0,casper,,1995.0,adventure children casper
159,Clockers (1995),Crime|Drama|Mystery,1995.0,clockers,,1995.0,crime drama mystery clockers
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,1995.0,congo,Michael Crichton,1995.0,action adventure mystery scifi congo michael crichton
161,Crimson Tide (1995),Drama|Thriller|War,1995.0,crimson tide,submarine,1995.0,drama thriller war crimson tide submarine
162,Crumb (1994),Documentary,1994.0,crumb,In Netflix queue,1994.0,documentary crumb in netflix queue
163,Desperado (1995),Action|Romance|Western,1995.0,desperado,,1995.0,action romance western desperado
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,1995.0,devil in a blue dress,,1995.0,crime filmnoir mystery thriller devil in a blue dress
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,1995.0,die hard: with a vengeance,,1995.0,action crime thriller die hard with a vengeance
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,1995.0,"doom generation, the",,1995.0,comedy crime drama doom generation the
168,First Knight (1995),Action|Drama|Romance,1995.0,first knight,,1995.0,action drama romance first knight
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,1995.0,free willy 2: the adventure home,,1995.0,adventure children drama free willy  the adventure home
170,Hackers (1995),Action|Adventure|Crime|Thriller,1995.0,hackers,,1995.0,action adventure crime thriller hackers
171,Jeffrey (1995),Comedy|Drama,1995.0,jeffrey,,1995.0,comedy drama jeffrey
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,1995.0,johnny mnemonic,,1995.0,action scifi thriller johnny mnemonic
173,Judge Dredd (1995),Action|Crime|Sci-Fi,1995.0,judge dredd,,1995.0,action crime scifi judge dredd
174,Jury Duty (1995),Comedy,1995.0,jury duty,,1995.0,comedy jury duty
175,Kids (1995),Drama,1995.0,kids,controversial New York City Nudity (Full Frontal),1995.0,drama kids controversial new york city nudity full frontal
176,Living in Oblivion (1995),Comedy,1995.0,living in oblivion,,1995.0,comedy living in oblivion
177,Lord of Illusions (1995),Horror,1995.0,lord of illusions,,1995.0,horror lord of illusions
178,Love & Human Remains (1993),Comedy|Drama,1993.0,love & human remains,,1993.0,comedy drama love  human remains
179,Mad Love (1995),Drama|Romance,1995.0,mad love,,1995.0,drama romance mad love
180,Mallrats (1995),Comedy|Romance,1995.0,mallrats,,1995.0,comedy romance mallrats
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,1995.0,mighty morphin power rangers: the movie,,1995.0,action children mighty morphin power rangers the movie
183,Mute Witness (1994),Comedy|Horror|Thriller,1994.0,mute witness,,1994.0,comedy horror thriller mute witness
184,Nadja (1994),Drama,1994.0,nadja,,1994.0,drama nadja
185,"Net, The (1995)",Action|Crime|Thriller,1995.0,"net, the",computers,1995.0,action crime thriller net the computers
186,Nine Months (1995),Comedy|Romance,1995.0,nine months,,1995.0,comedy romance nine months
187,Party Girl (1995),Comedy,1995.0,party girl,,1995.0,comedy party girl
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,1995.0,"prophecy, the",,1995.0,fantasy horror mystery prophecy the
189,Reckless (1995),Comedy|Fantasy,1995.0,reckless,,1995.0,comedy fantasy reckless
190,Safe (1995),Thriller,1995.0,safe,,1995.0,thriller safe
191,"Scarlet Letter, The (1995)",Drama|Romance,1995.0,"scarlet letter, the",,1995.0,drama romance scarlet letter the
193,Showgirls (1995),Drama,1995.0,showgirls,,1995.0,drama showgirls
194,Smoke (1995),Comedy|Drama,1995.0,smoke,,1995.0,comedy drama smoke
195,Something to Talk About (1995),Comedy|Drama|Romance,1995.0,something to talk about,,1995.0,comedy drama romance something to talk about
196,Species (1995),Horror|Sci-Fi,1995.0,species,,1995.0,horror scifi species
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,1995.0,strange days,,1995.0,action crime drama mystery scifi thriller strange days
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,1964.0,"umbrellas of cherbourg, the (parapluies de cherbourg, les)",Made me cry,1964.0,drama musical romance umbrellas of cherbourg the parapluies de cherbourg les made me cry
201,Three Wishes (1995),Drama|Fantasy,1995.0,three wishes,,1995.0,drama fantasy three wishes
202,Total Eclipse (1995),Drama|Romance,1995.0,total eclipse,,1995.0,drama romance total eclipse
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,1995.0,"to wong foo, thanks for everything! julie newmar",,1995.0,comedy to wong foo thanks for everything julie newmar
204,Under Siege 2: Dark Territory (1995),Action,1995.0,under siege 2: dark territory,,1995.0,action under siege  dark territory
205,Unstrung Heroes (1995),Comedy|Drama,1995.0,unstrung heroes,,1995.0,comedy drama unstrung heroes
206,Unzipped (1995),Documentary,1995.0,unzipped,,1995.0,documentary unzipped
207,"Walk in the Clouds, A (1995)",Drama|Romance,1995.0,"walk in the clouds, a",,1995.0,drama romance walk in the clouds a
208,Waterworld (1995),Action|Adventure|Sci-Fi,1995.0,waterworld,,1995.0,action adventure scifi waterworld
209,White Man's Burden (1995),Drama,1995.0,white man's burden,,1995.0,drama white mans burden
210,Wild Bill (1995),Western,1995.0,wild bill,,1995.0,western wild bill
211,"Browning Version, The (1994)",Drama,1994.0,"browning version, the",,1994.0,drama browning version the
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,1995.0,bushwhacked,,1995.0,adventure comedy crime mystery bushwhacked
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,1994.0,burnt by the sun (utomlyonnye solntsem),,1994.0,drama burnt by the sun utomlyonnye solntsem
214,Before the Rain (Pred dozhdot) (1994),Drama|War,1994.0,before the rain (pred dozhdot),,1994.0,drama war before the rain pred dozhdot
215,Before Sunrise (1995),Drama|Romance,1995.0,before sunrise,generation X,1995.0,drama romance before sunrise generation x
216,Billy Madison (1995),Comedy,1995.0,billy madison,school Adam Sandler stop looking at me swan,1995.0,comedy billy madison school adam sandler stop looking at me swan
217,"Babysitter, The (1995)",Drama|Thriller,1995.0,"babysitter, the",,1995.0,drama thriller babysitter the
218,Boys on the Side (1995),Comedy|Drama,1995.0,boys on the side,,1995.0,comedy drama boys on the side
219,"Cure, The (1995)",Drama,1995.0,"cure, the",,1995.0,drama cure the
220,Castle Freak (1995),Horror,1995.0,castle freak,,1995.0,horror castle freak
222,Circle of Friends (1995),Drama|Romance,1995.0,circle of friends,Ireland,1995.0,drama romance circle of friends ireland
223,Clerks (1994),Comedy,1994.0,clerks,cynical hilarious independent film quirky witty generation X,1994.0,comedy clerks cynical hilarious independent film quirky witty generation x
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,1995.0,don juan demarco,mental illness psychology,1995.0,comedy drama romance don juan demarco mental illness psychology
225,Disclosure (1994),Drama|Thriller,1994.0,disclosure,,1994.0,drama thriller disclosure
227,Drop Zone (1994),Action|Thriller,1994.0,drop zone,,1994.0,action thriller drop zone
228,Destiny Turns on the Radio (1995),Comedy,1995.0,destiny turns on the radio,,1995.0,comedy destiny turns on the radio
229,Death and the Maiden (1994),Drama|Thriller,1994.0,death and the maiden,,1994.0,drama thriller death and the maiden
230,Dolores Claiborne (1995),Drama|Thriller,1995.0,dolores claiborne,Stephen King,1995.0,drama thriller dolores claiborne stephen king
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,1994.0,dumb & dumber (dumb and dumber),,1994.0,adventure comedy dumb  dumber dumb and dumber
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,1994.0,eat drink man woman (yin shi nan nu),In Netflix queue,1994.0,comedy drama romance eat drink man woman yin shi nan nu in netflix queue
233,Exotica (1994),Drama,1994.0,exotica,,1994.0,drama exotica
234,Exit to Eden (1994),Comedy,1994.0,exit to eden,,1994.0,comedy exit to eden
235,Ed Wood (1994),Comedy|Drama,1994.0,ed wood,movie business,1994.0,comedy drama ed wood movie business
236,French Kiss (1995),Action|Comedy|Romance,1995.0,french kiss,,1995.0,action comedy romance french kiss
237,Forget Paris (1995),Comedy|Romance,1995.0,forget paris,basketball France infertility,1995.0,comedy romance forget paris basketball france infertility
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,1995.0,far from home: the adventures of yellow dog,,1995.0,adventure children far from home the adventures of yellow dog
239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,1995.0,"goofy movie, a",,1995.0,animation children comedy romance goofy movie a
240,Hideaway (1995),Thriller,1995.0,hideaway,,1995.0,thriller hideaway
241,Fluke (1995),Children|Drama,1995.0,fluke,,1995.0,children drama fluke
242,Farinelli: il castrato (1994),Drama|Musical,1994.0,farinelli: il castrato,,1994.0,drama musical farinelli il castrato
243,Gordy (1995),Children|Comedy|Fantasy,1995.0,gordy,,1995.0,children comedy fantasy gordy
246,Hoop Dreams (1994),Documentary,1994.0,hoop dreams,basketball,1994.0,documentary hoop dreams basketball
247,Heavenly Creatures (1994),Crime|Drama,1994.0,heavenly creatures,Australia,1994.0,crime drama heavenly creatures australia
248,Houseguest (1994),Comedy,1994.0,houseguest,bad Sinbad,1994.0,comedy houseguest bad sinbad
249,Immortal Beloved (1994),Drama|Romance,1994.0,immortal beloved,Beethoven,1994.0,drama romance immortal beloved beethoven
250,Heavyweights (Heavy Weights) (1995),Children|Comedy,1995.0,heavyweights (heavy weights),,1995.0,children comedy heavyweights heavy weights
251,"Hunted, The (1995)",Action,1995.0,"hunted, the",,1995.0,action hunted the
252,I.Q. (1994),Comedy|Romance,1994.0,i.q.,Einstein,1994.0,comedy romance iq einstein
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,1994.0,interview with the vampire: the vampire chronicles,,1994.0,drama horror interview with the vampire the vampire chronicles
254,Jefferson in Paris (1995),Drama,1995.0,jefferson in paris,,1995.0,drama jefferson in paris
255,"Jerky Boys, The (1995)",Comedy,1995.0,"jerky boys, the",,1995.0,comedy jerky boys the
256,Junior (1994),Comedy|Sci-Fi,1994.0,junior,,1994.0,comedy scifi junior
257,Just Cause (1995),Mystery|Thriller,1995.0,just cause,court,1995.0,mystery thriller just cause court
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,1995.0,"kid in king arthur's court, a",,1995.0,adventure children comedy fantasy romance kid in king arthurs court a
259,Kiss of Death (1995),Crime|Drama|Thriller,1995.0,kiss of death,,1995.0,crime drama thriller kiss of death
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,1977.0,star wars: episode iv - a new hope,classic space action action sci-fi EPIC great soundtrack classic sci-fi engrossing adventure EPIC classic Nerd classic sci-fi space action space epic oldie but goodie sci-fi Star Wars ROBOTS AND ANDROIDS space classic sci-fi sci-fi space adventure Star Wars darth vader luke skywalker space opera,1977.0,action adventure scifi star wars episode iv  a new hope classic space action action scifi epic great soundtrack classic scifi engrossing adventure epic classic nerd classic scifi space action space epic oldie but goodie scifi star wars robots and androids space classic scifi scifi space adventure star wars darth vader luke skywalker space opera
261,Little Women (1994),Drama,1994.0,little women,Louisa May Alcott,1994.0,drama little women louisa may alcott
262,"Little Princess, A (1995)",Children|Drama,1995.0,"little princess, a",England Girl Power India,1995.0,children drama little princess a england girl power india
263,Ladybird Ladybird (1994),Drama,1994.0,ladybird ladybird,,1994.0,drama ladybird ladybird
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,1992.0,like water for chocolate (como agua para chocolate),,1992.0,drama fantasy romance like water for chocolate como agua para chocolate
266,Legends of the Fall (1994),Drama|Romance|War|Western,1994.0,legends of the fall,,1994.0,drama romance war western legends of the fall
267,Major Payne (1995),Comedy,1995.0,major payne,,1995.0,comedy major payne
